CONFIG
Key,Value
Our Mon,Moltres Galar
Calc Species Shell,Moltres Galar
Ability,Overcoat
Item,Heavy-Duty Boots
Nature,Jolly
Moves,"Beak Blast, Crunch, Taunt"
EVs,"{""hp"":164,""atk"":600,""def"":164,""spa"":0,""spd"":0,""spe"":72}"
IVs,"{""hp"":31,""atk"":31,""def"":31,""spa"":31,""spd"":2,""spe"":31}"
safeRepeatedSwitchMaxPct,33
safeSingleSwitchMaxPct,50

ALL MATCHUPS
Opponent,Bucket,We Switch Into Them,They Switch Into Us,Our Best Move,Our Damage Min %,Our Damage Max %,Their Best Move,Damage Into Us Min %,Damage Into Us Max %,Our Speed,Opp Speed,Summary,Debug
Landorus-Therian (Defensive Pivot),Switch-in,Safe,No,Beak Blast,33.2,39.3,U-turn,17.7,21.0,257,218,our best hit: Beak Blast (33.2-39.3%); worst hit into us: U-turn (17.7-21.0%); we are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Landorus-Therian / Defensive Pivot || Threat moves considered: Earthquake, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Safe, theyIntoUs=No || After setup logic: weIntoThem=Safe, theyIntoUs=No || After knock logic: weIntoThem=Safe, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Safe, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in"
Corviknight (PhysDef),Switch-in,Safe,No,Crunch,24.3,28.7,Body Press,19.6,23.2,257,170,our best hit: Crunch (24.3-28.7%); worst hit into us: Body Press (19.6-23.2%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Corviknight / PhysDef || Threat moves considered: U-turn, Body Press || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Roost""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Roost"",""Defog""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Safe, theyIntoUs=No || After setup logic: weIntoThem=Safe, theyIntoUs=No || After knock logic: weIntoThem=Safe, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Safe, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in"
Hydrapple (Nasty Plot),Switch-in,Safe,No,Beak Blast,52.5,62.7,Fickle Beam,25.7,30.7,257,127,our best hit: Beak Blast (52.5-62.7%); worst hit into us: Fickle Beam (25.7-30.7%); we are faster; faster Taunt blocks status moves,"Loaded set: Hydrapple / Nasty Plot || Threat moves considered: Fickle Beam, Giga Drain, Earth Power || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":false,""hasDrainRecovery"":true,""statusRecoveryMoves"":[],""drainMoves"":[""Giga Drain""],""bestDrainMove"":""Giga Drain"",""statusRecoveryPct"":0,""drainRecoveryPct"":7.044198895027624,""bestRecoveryPct"":7.044198895027624} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Nasty Plot""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Nasty Plot""]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Safe, theyIntoUs=No || After setup logic: weIntoThem=Safe, theyIntoUs=No || After knock logic: weIntoThem=Safe, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Safe, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in"
Alomomola (PhysDef),Switch-in BL,Soft,No,Beak Blast,25.3,30.0,Flip Turn,13.3,15.7,257,121,our best hit: Beak Blast (25.3-30.0%); worst hit into us: Flip Turn (13.3-15.7%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Alomomola / PhysDef || Threat moves considered: Flip Turn, Scald || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Wish""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""Flip Turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Protect"",""Wish""],""secondaryStatusMoves"":[""Scald""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Malaconda (Utility),Switch-in BL,Soft,No,Beak Blast,80.6,95.4,Knock Off,13.3,15.7,257,146,our best hit: Beak Blast (80.6-95.4%); worst hit into us: Knock Off (13.3-15.7%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Malaconda / Utility || Threat moves considered: Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Synthesis""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":false,""hasNonContactPivot"":true,""contactPivotMoves"":[],""nonContactPivotMoves"":[""Parting Shot""]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Synthesis"",""Glare"",""Parting Shot""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Arghonaut (PhysDef),Switch-in BL,Soft,No,Beak Blast,60.0,71.2,Circle Throw,18.2,21.5,257,186,our best hit: Beak Blast (60.0-71.2%); worst hit into us: Circle Throw (18.2-21.5%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Arghonaut / PhysDef || Threat moves considered: Circle Throw, Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Spikes"",""Recover""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Snaelstrom (BulkySetup),Switch-in BL,Soft,No,Beak Blast,77.7,91.7,Razor Shell,19.3,23.2,257,162,"our best hit: Beak Blast (77.7-91.7%); worst hit into us: Razor Shell (19.3-23.2%); we are faster; contact exists, but burn punishment is muted; faster Taunt blocks status moves","Loaded set: Snaelstrom / BulkySetup || Threat moves considered: Razor Shell || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Spiky Shield"",""Swords Dance"",""Toxic""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Swords Dance""]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Pecharunt (PhysDef),Switch-in BL,Soft,No,Crunch,35.3,42.6,Malignant Chain,24.9,29.3,257,219,our best hit: Crunch (35.3-42.6%); worst hit into us: Malignant Chain (24.9-29.3%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Pecharunt / PhysDef || Threat moves considered: Malignant Chain, Foul Play || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":false,""hasNonContactPivot"":true,""contactPivotMoves"":[],""nonContactPivotMoves"":[""Parting Shot""]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Recover"",""Parting Shot""],""secondaryStatusMoves"":[""Malignant Chain""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Skarmory (PhysDef),Switch-in BL,Soft,No,Crunch,22.5,26.3,Body Press,25.7,30.4,257,176,our best hit: Crunch (22.5-26.3%); worst hit into us: Body Press (25.7-30.4%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Skarmory / PhysDef || Threat moves considered: Body Press || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Roost""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Roost"",""Spikes"",""Whirlwind""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Slowking-Galar (SpDef),Switch-in BL,Soft,No,Crunch,79.2,93.4,Sludge Bomb,26.8,31.8,257,58,our best hit: Crunch (79.2-93.4%); worst hit into us: Sludge Bomb (26.8-31.8%); we are faster; faster Taunt blocks status moves,"Loaded set: Slowking-Galar / SpDef || Threat moves considered: Sludge Bomb, Future Sight || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Thunder Wave"",""Chilly Reception""],""secondaryStatusMoves"":[""Sludge Bomb""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Revenankh (BulkySetup),Switch-in BL,Soft,No,Beak Blast,97.8,115.4,Drain Punch,29.8,35.1,257,187,our best hit: Beak Blast (97.8-115.4%); worst hit into us: Drain Punch (29.8-35.1%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Revenankh / BulkySetup || Threat moves considered: Drain Punch, Poltergeist || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":true,""statusRecoveryMoves"":[""Moonlight""],""drainMoves"":[""Drain Punch""],""bestDrainMove"":""Drain Punch"",""statusRecoveryPct"":50,""drainRecoveryPct"":17.5414364640884,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Bulk Up"",""Moonlight""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":true,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[""Bulk Up""],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
